Rating,Ulasan
1,"asli game sampah,sumpah"
5,oke buat temen bete
1,Matchmaking ga pernah seimbang game babi
5,ML dapat membuat kita gacor
3,Akhir-akhir ini koneksi dalam game kurang stabil.
1,game nya sangat tidak di rekomendasikan. karena yang buat ini game udah meninggal bumi
5,"saya harap system jangan cuma terima laporan saja dari pihak setempat, buat yang sudah masuk mau play permainan tapi tidak di klik, mohon untuk kasih hukuman juga yang pantas biar system juga bekerja"
1,"ngecewain bgt jujur percuma kita beli skin banyak tpi di kasih tim ampas buat apa tolong bgt benerin match nya udh ngebuang waktu gua aja, cuma game ini doang yh bikin org pada toxic buang²duit gua demi skin lo tpi di kasih match bgtu buat apa coba"
1,"weyyyyy moonton bubar aja lah su kalo ga bisa terima masukan Dan saran,report ga pernah di kasih tanggepan,bubar aja su mikir blogg"
1,sering dapet tim yang gak jelas entah bocil entah orang idiot kah ini gem gak ada menang ya
1,plagiat
1,Monton kenapa saya main dou di metick bintang 24 malah di kasih tim legen terus sampe 3 kali kaya main berdua.
1,game rusak
5,Nyoba aja deh
1,"game bikin gila, nambahin stres"
1,gem sampah bikin darah tinggi
5,mantap
1,"he ton monton,darksistem tolong di ilangin lol,"
1,"KAN UD GUE BILANG,TOMBOL RIPORT DI HAPUS AJA GA GUNA,, MAKIN BANYAK RIPORT MAKIN BANYAK MUNCUL MATCHKING DARK SISTEM MU , BAKALAN BANGKRUT JUGA LAMA2 NI GAME, TAHUN INI AJ JUMLAH PLAYER MAIN MAKIN SEPI , GA USA JAUH2 , DI SEKITAR GUE AJ PADA MALES MAIN KARNA DARK SISTEM MU DI PELIHARA KWKWKKWK"
3,matching up yg seimbang dong😞
1,game kocak
1,"menang nya 1 kali, kalah nya 15kali, terus lose sampe modar"
1,"udah tiba2 keluar sendiri,sinyal lngsung g ada blom lagi g bisa masuk akun sinting nih game"
5,game sejuta umat
1,game toxic gak baik buat anak sekolah
1,game ga guna hilang kan aja dari bumi
1,kesel bener akhir2 berat bener maen aja sinyal full patah2 bnr ayolah fi perbaiki
2,Moonton tolong kno saya merasa setiap mau naik pasti di temuin sama dark system jgn gitu moonton cape
5,Bagus banget
1,game cibay
2,knp tim gw bot toxic musuh jago hadehhhhh
5,sangat bagus buat di mainkan
1,"jangan cuma perbanyak event, perbaikin jaringan sering banget tiba2 jumping jaringannya bikin player ga nyaman buat main"
5,bgus bngt
5,game yang sangat ramah
5,woi ton kasi team yang bener kenapaa jangan ngasih yang dark sistem mulu musuh nya mah gpp pro tp team nya dong jangan kasih yang dark sistem cape punggung gw tot makin ga bener nih game damage jadi ga ngotak hero kek binatang di buff revamp abis' an mana ga ngotak lagi revamp an nya dah benerin lagi seimbangin ae tott sama ratain sesuai sama rolenyaa masa iya Hanzo ga bisa di hit lgi sii ga ngotak tau revamp lu bikin player males main sekalian tu lu banned aja dark sistem yg suka ngetroll -otak
2,Seossn sekarang moontoj gadil berat kalo solo moonton lol ngasih
5,Sangat keren sekali saya menyukainya
1,he monton . kalo (AFK ) ITU JANGAN LANGSUNG di (AFK) kan dong liat dulu masih masuk dia atu tidak kalo dia gak masuk lagi kasi (AFK) tapi kolo masuk lagi jangan dong kasi (AFK). kasian kami yang jaringan nya mati² monton tidak bagus sangat tidak bagus
1,"game taiiii,,,,oleh konco bosok teros,,,johhh kapan keki konco kompak"
1,GK KAU BETULIS TEAM MATCH NYA MALES AKU TOP UP LGI
5,mobile legend jangan pernah pergi
1,"Maaf tapi gamenya kyk kon**, knp?? karna, nemu tim kek ppk musuh jago bet tim awak kyk mmt apa ga kesel aku?? Moonton perbaikin pls, bisa bundir pemain ml gara² lostreak mulu...."
1,montooo
5,"Gamenya bagus bngt playernya pada ramah²,Dan Bisa Buat hilangin stress🥰"
5,suka
5,ok sip
1,"woi asw ,kasih tim yg setara sama lawan lah ,cape gua lostreak, kalo g lu kasi gua main honor of kings"
1,game ini bukan untuk pleyer solo....game yang dari dulu gk pernah adil machmaking.....mending HONOR OF KING udah dapet skin gratis adil pula.....downlod game ini cuma nyari penyakit stres...
1,Tahun 2025 udah nggak jaman maen Mobile Legends gua aja udah bosan!! buang buang waktu aja kalo mytic atau mytical glory emang dapat kepuasan apa?? Kamu cuma dibodohin ama moonton yang di update cuma skin doang ping sering merah ini game penyembah dajjal dari logo dan hero nya kalau kamu mau bukti kamu ketik aja di google Mobile Legends game illuminati dan disini banyak cheater dan ketika mengetik banyak sensor........................................................
1,GAME LOL JAWAB PESANKU GW?
1,"aplikasi bangsattt,dikasi kalah Mulu gw njingggg,hapus ajaa dari play store"
1,"geme yg bikin darah tinggi, dan stres. tapih gak bisa di hapus😫😫"
1,"anj game yang bener sikit masak rank ku mythic di kasi musuh yang imo tanpa pencet roket??. tim pada ngawur rank mereka pada legend, hadehh banyak orang yang pensi/belabelain untuk joki karna gak sanggup naik rank. tapi malah di halangi keadan sama moonton nya karna sekarang player tidak bisa joki karna kompensasi nya kenak ban. jadi cemana orang yang baru buat akun masih gak ngerti apa aa sudah di kasi lawan yang gak seimbang kasian mereka jadi tolong di diskusi kan untuk pihak developer🙏🙏🙏"
4,asik
5,monton ini gama nya terlalu banyak dark sistem
1,"terlalu sulit untuk kami pemula. mainnya pasti dapat lawan yg jago-jago, sementara tim dapat yg pemula . game kocak, gak ada tinjauan untuk pemain pemula ."
1,Game nya bet sumpah!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!ya haha ya hayuk😎😎
1,game dark sistem jaringan gw bagus tapi analog nya gk bisa di kendaliakan
5,Terima kasih moonton Karen telah bikin aku ws dan lose dan terimakasih karena udh bisa naik ke mythic honor terimakasih moonton😆👍🤩
3,"setelah kolaborasi sama naruto,hp samsung a14 ram 6 ku kek hp kentang"
1,"tolong kasih sistem yang bener lah,masa dari kemaren dapet tim egois, troll,bocah,afk,tolong di benerin lagi sistem nya moonton kecewa gw"
1,"tolonglah moonton jika login ulang jangan lah dari 0%... kami keluar dari pertandingan karna koneksi internet terputus bukan disengaja... udah di coba login ke ulang game dan login ke pertandingan malah dari 0% okelah jika cepat ini harus menunggu beberapa menit bisa 100%... udah point di kurangi tim kalah... seharusnya sistem dari game lebih pintar memilih mana yg di sengaja keluar dan mana yg tidak, saran saya login lagi ke pertandingan seharusnya dari 50%"
1,"Banyak dark sistem nyaa,maen ga pernah dapet tim bener moonton, yang bener dikit lah dari kemaren lose terus 20xlebih astaga,banyak banget player bocah"
1,game penambah stres
1,game ta sesuai tim
4,tolong lah montoon perbaiki jaringannya masak sinyal lancar tetep ngeleg sii coba perbaiki udah beberapa bulan ke gitu terus ayolaah kasian kita yang berada di pedesaan yang butuh sinyal sampe muter² tapi tetep ngeleg klo ke gini terus aku hapus aja klo update bulan depan ga di perbaiki makasih.
1,game tai
1,"makin kesini making ga jelas ni game,,, mending game HO aje lah,,, uninstal"
2,"game apaan ini!! pembagian timnya betul"" tidak merata kaya sampah aja mana bukan 1x/2x dapat tim gitu, 4x ketemu tim yg pake rubah coklat semua player apaan itu, tolong diperbagus dan diseimbangkan lagi pemilihan tim nya bukan berat sebelah jangan event aja yg diperbagus, mana banyak bug ga jelas dan segara dikelola dengan baik lagi soal pemilihan tim nya."
1,kenapa argoritment moonton sekarang gini banget. push rank season kemarin cepat sekali naik bintang. sekarang kenapa susah sekalii?
1,"team selalu ketemu yg jelek giliran lawan, selalu yg jago² game sampah"
5,mantappp
1,"jaringan bagus, tapi stuck di loading awal sampe 2 jam"
1,"game rusak main solo dikasih tim yang ga waras lo mau nyaa apa setann, mau uji mental player solo gitu maksud lu kont""*l lo biadab, moga aja bangkrut perusahaan lu kontl"
5,gm bagus
1,moonton moonton
1,game rusak percuma jago kalo dari sistem nyh ngasi tim gajelas alah ga usah di download game rusak ini bikin mental lu pada hancur game ini
1,"Game lol, matcmaking tidak setara dan seringkali dapet tim yang tidak solid"
1,PLIS LAH RANKED JANGAN LAMA WAKTU TANDINGNYA MANA CUMA 1 BINTANG SAMPAI PULUHAN LENIT
5,halllo gasy
1,d kasih team begitu mulu si gua min
1,game buruk
1,"klo main solo, ketemu dark sistem Mulu di tim sendiri"
1,perbanyak dark sistem nya monton biar game nya bintang satu
1,tolol lu kalo atur sistem yng bener ajngg yatimm binatang babii cukimaii pendooo ajnggg lu jangan jadiin gua bahan percobaan kuda cukii
4,banyak player nub di tim gua capek gua uninstall
1,"game penambah darah tinggi, udah tau role para playernya itu, tiap main malah ditabrakin sama role yang sama, minimal mah macthmakingnya tuh diperbaiki, bikin permainan jadi ga adil tau gak!! tiap main rolenya ditabrakin mulu"
1,bosan tidak ada yg menarik
2,dark sistemnya bikin males main
1,"moonton saran saya untuk org yang suka ngetrol(kesengajaan untuk kalah) mendingan di ban kek akunnya soalnya udh cape bgt dpt tim sampah, kan kasian untuk player solo yg gapunya teman untuk main, dan pas main malah dikasih publik jelek gajelas, mohon diketatin lagi peraturannya atau tidak jika ada yg ngetrol sistemnya samain aja kaya afk, jd tim bisa surender tanpa kehilangan bintang, dan yg ngetrol di ban akunnya/di ban dari pertandingan selama sebulan atau kapan gt biar jera,"
1,Mobile legends makin update makin buruk makin gak jelas
1,"Apa apaan, lagi main rank ngelag parah masa keluar sendiri.. akhirnya kalah padahal Lg bagus-bagusnya main, mengecewakan!!!! su dan dapet musuh gak imbang. moonton bangke"
1,game Moba ko banyak fomo wkwkkw
1,ml bagong
1,"matchmaking tidak adil, main berlima musuh rata2 joki, jadi tidak adil, harus ada pembaruan sistem matchmaking, game ini tidak pernah berbenah dan memperbaiki sistem yang sudah membuat banyak orang tidak senang, tim moonton tidak ada yang bisa di harapkan"
1,game taii stress masa ketmu tim dark system Mulu!!
1,kasih tim yang bener lahhh
1,bikin setres monton 1minggu lebih kalah trs susah naik kecewa ml skrng pindah game saja
5,woy monton. kenapa gw ketemu duo mulu padahal gw solo.setiap gw solo pasti ketemu duo dan pasti kalah soalnya duo nya aneh
1,"capek sama game moonton, sorry gue kasi bintang 1, hari2 dikasi tim poke, game yg lain lebih ngerti playernya dripada lo.."
1,"kalau bisa mooton,kalau ada yang fedd atau broze dan mati lebih dari sepuluh tapi belum ngekill kalau bisa ban aja selama 1 jam atau lebih sesuai dengan cara mainnya biar player² yang bermain tuh tidak mendapatkan player feeder #GW DAH MUAK KETEMU PLAYER DARKSISTEM TAPI KAGAK DI BAN MOOTON ASW KADANG DI PERINGATI DOANG TAPI² UJUNG² NYA KAGAK DI BAN SISTEM TOLOL"
1,"yg cewek pms kalau lagi g mod kanagn main deh gem ini, pils kasih bintang satu, GEM BUSUK YG PALING BUSUK !!!!!! gem haram"
4,"gamenya bagus, cuma kasih saya tim yang benar terimakasih"
1,Moonton anak haram
1,"makinlama nggk tambah bener, tambah makin ancur nih game, sistematis match nya untuk Player solo bener2 buruk bgt,nyesel bgt udah spend uang buat nih game"
1,fix your matchmaking lol game
2,ml kesini semakin burik suka leg terus ketemu tim draksistem banyak yang trol lah perbaiki monton cape gw
1,game ga mutu..uninstal done
5,SKIAN TERIMAKASIH GUA MAU PENSI
2,"semenjak ada event collab sama naruto device jadi ga jelas, terasa berat bngt padahal penyimpanan masih banyak, turbo game udh di nyalain eh malah tambah ga jls sinyal padahal hijau tapi ngelag in game sering patah-patah, tolong lah moonton di perbaiki.!!!"
1,game 💩💩💩💩💩💩💩💩💩💩💩💩💩
1,MLBB MAKIN LAMA MAKIN RUSAK ...UNTUK TEMAN SATU TIM SELALU DI KASIH YG G BISA MAIN!!!!.KNP APAKAH SPT ITU NGASIH TEMAN SATU TIM YG BOT KLO DI PAKE MUSUH HEBAT HEBAT....KNP APA KARNA TERKENA DARK SISTEM ATAW PENGATURAN AKUN YG SALAH??????
1,"sistem RUSAKKK&TOLOLLLL,tak layak mendapatkan rating👎👎👎👎👎👎👎👎👎👎👎👎👎"
5,teruntuk moonton yg saya hormati game nya tolong di perbaiki lagi season depan makin kesini makin banyak aja Player Player yg make cheat yg menyebabkan tim saya menjadi lag semua agar kedepannya gameplay para player lain nya tidak terganggu oleh cheat yg d gunakan para player curang sekian TERIMA KASIH#MOBILELEGENDXNARUTO
1,"game apaan coba ngasih tim gk benar, adil dikit napa egois, mending pindah game sebelah, ini apaan coba ngasih tim aja gak becus, tambah lagi ngasih lose yang ngotak lah"
2,ko bisa drak sistem sampe glory?
1,"game lu makin parah min gajelas, enak"" main tiba"" jump ping banyak bug pula, server benerin jangan skin doang dibanyakin"
1,"ntah kenapa tiba-tiba jaringan lag kadang bagus nih lama"" makin rusak nih game ntah kenapa tanpa sebab semuanya mengalami hal yang sama tolong segera diproses ini udah di alami oleh semua player"
1,matcmaking gak masuk akalnt kali pertandingan hiro mia terus moonton asw
2,"saran saya, kalok main solo di bikin adil min, team harus sesuai sama skil kita, masa saya solo nggendong mulu tapi kalah, jadi tolong ya monton, ini ngapa dah server tiba² leg jadi kalah udah gitu ga dapat perlindungan"
1,masih banyak yg pake cheat ini gimana tangapan lu montoon dari dulu sampe sekarang di biarin aja dan sekarang masih aja ada player cheat ini
5,"game nya bagus, tapi minusnya KALO NGASIH TIM ITU YANG NGOTAK DIKIT NGAPA, heran gw"
1,game rusak lag gajelas
1,"Kenapa point skin gaara cuma 400, kenapa harus dibeda bedakan padahal sama sama colab"
5,tolong ya monton di perbaiki lagi masalah jaringan nya pusing tiap main jaringan ngeleg terus padahal buka apk lain gapapa jaringan nya
1,geme lol kasi tim tu yg sesuai lah sama musuh nya ini dikasi tim lol
1,dah ga layak
5,apk bagus
1,Paket TELKOMSEL tidak bisa di gunakan Padahal klo game lain aman² saja
5,mantap
5,hmm update sekarang jelek padahal aku sekarang gak jago aku nih bisanya pakai hiro dyroot
1,cuma bocil ga guna beban negara yg main game ga guna kek gini
1,dapet tim ga Waras terus darak sistem banyak masa satu hari kalah hampir 16 kali lol hapus aja drak sistem lol pusing begadang tiap malem ga ada apa apanya bukanya ngilangin stres palh tampah setres lol lol
1,game gk guna
5,mantap
5,game ini sangat seru sekali ayo lah instal
2,anjayyy aku man SAE ampagi aku man lalo aku baru saja selesai dan siap untuk ku skolh kek gini nih kalo ada yang bisa ngirim suratnya kepada Allah SWT yang telah ditetapkan
1,Game Ini Emang Gak Masuk Akal Sinyal Lag Team Mach Gak Bener.Masuk Akal Emang ? Menang Sekali Kalah 4 Kali Mending Hapus Pilih Pensiun Beres.
1,"game taik, bkin stres aja kalo ngasih tim yang adil lah babi, tiap main tim sama musuh ga seimbang, jangan buta sama keluhan player ngerusak mental doang ni game"
2,woi gak bisa login nih apk busuk tolong dibenahin
5,mantap
1,gak jelas solo dikasih team tolol terus
1,Game stres
1,Dark system tlol Auto uninstall
5,sangat seru sekali ayo main ml
1,game jelek gak berkualitas
1,"ah ini buat moonton yah IHH Gedeg gw tolong lah kasih tim yg seimbang gitu, masa ya gak seimbang musuh spek mpl, temen spek binatang gimana gak kesel kapan gw bisa honor moontoooonnnnn!!!!!!! ah jmbt nih game 4 kata lucu ""lebih rame dari HOK"" kocak nih game cukkk gimana mau rame yah playernya aja banyak yg ga ngerti maen ah udah lah cape gw 😭"
1,"BUG MS TERLALU PARAH PADAHAL SINYAL FULL BAR,.HP RAM 6 TAPI BUG MS NYA GA DI PARBAIKI SEJAK 2 BULAN YANG LALU, MALES MAIN,TIAP TEAMFIGHT/WAR KALAH TERUS SEBAB LAG,BELOM LAGI KALO SERANG BASE LAWAN,,BEUHHH DELAY NYA KEK BABI... GAME RUSAAKK TOLOL !!!,AUTO UNINSTAL"
1,jaringan suka lag dan
1,gem apa sih tim ko bot semua
1,asu we monton
1,kemvalikan Hanzo gw yg dulu !
1,celeng
1,"BUKAN SINYALLLL AJA JELEKK, TAPI TEAM JUGA BANGSATTT SELALU DAPATT BEBANNNNN"
1,makin aneh
5,GEMNA SERU TAPI BANYAK DRAK SISTEM NA AKU MAON DARI BINTANG 20 SAMPEK BINTANG 17
1,kau montoon tiap hari kau kasih aku tim bebas nih aku kasih bintang 1 udah males kali aku main mlbb nih main dari pagi siang malam kagak ada nambah Nambah malah turun bintang 🌟👎👎👎👎👎👎👎👎👎👎👎
4,"Gatau kenapa setiap main pake Jaringan Data. Selalu Lag, Ping selalu jumping dan selalu tidak stabil, jadi bikin males untuk mainnya."
1,Gamenya banyak orang kek dajal maunya kalah mulu moonton.aku ada surat terbuka.kalo bukan karena skin gaara udah ku apus terus ku kentutin lagian dapet tim kaya dajal
1,GEMS babi
5,Player pria triyatmana melakukan guna guna serta scam sekala internasional. Tolong di hapus diamondnya... TULUNGGGG
1,hduh lu bayangin aja gua dari b83 ampe b75 ls ga pernah coklat lu ngasih tim yang beneran dikit ngapa k
1,udh ketebak hasil pertandingan... kalo 1 menang maen ke 2 kalah trus kalah trus.. dpt g jls mulu... sulit buat pemain solo maen
3,please moonton fix the report player there so many toxic player n we can't report them or give them any punishment
2,GAME KONTOLLLLLLLL SISTEM GELAP LU KASI GW SEMUA ANJGG!
1,game rusak wifi lancar tapi di ingame ngelag parah
2,nih jaringan ml lagi kenapa dahhhh???
5,Pemain Baru
3,Daripada lu pake sc apa lu kata gua juga lebih cepet kalo gua sendiri sendiri bisa bikin kamu senyum hari hari hari hari hari hari hari hari hari hari
5,josss gem pling seruss tpi byak drak sistem yh
1,padahal jaringan bagus tapi kalo main suka leq jaringan nyaa kalo gini teruss jadi malas main lama lama bisa gua hps ni
1,gem nya bagus tapi sering leg padahal sinyal nya bagus 30 ke bawah
5,moonton tolong perbaiki ini unduhan nya saya jadi gk bisa main tolong perbaiki ya!!!
1,ngasih nya gajelas banyak yang bot
1,moonton kau cari tim yg setar Napa main 5 jam kagak nambang bintang malah ngurang. benarin Napa pilih tim yg setara kek apa setim sama lagend mulu di honor kek game rusak lah. muak betul sama game ini kayak 1vs 9 bukan 5vs5 lah game rusak
3,sangat bagus tapi data nya gede bangett
2,Game nya bagus Cuman match nya gak adil tim saya selalu dark sistem sedangkan lawan nya jago jago Barusan saya main 5 kali 3 kali mvp kalah 2 kali emas masih tetep kalah Tolong moonton kalo kasih tim yang adil nggk berat sebelah
1,gem mati suri wkwkwk montoon asu🗿
5,saya rasa sistem kredit score sangat merepotkan saya harap itu dihapus
1,tolong revamp Layla dong biar GK sakit damage nya 😁😁😁
1,setiap main sengaja di kasih teman dark sistem supaya kita kalah
5,tolong di perbaiki sinyal saya ngelag tapi masih bisa ambil buff sama ngetik
5,bagi dan seru
1,"game kntll pp, jaringan bagus ,,,wifi cuman gw yang makek,,,ram 8 +8 ,,menang 1x ,habis tu main ngelag parah emang ppk ,,bukan hilangin stres malh tambah stress,,gw uninstall game kntl nih lagi ,,game pp ,,gak jelas"
3,"kaya ada yang kurang, kurang seru aja"
5,menghibur
1,"game tolol,"
1,GAME HAMA RUSAKKK BABII... KTEMU DRAK SISTEM TRUSS... MAKIN BERAT MAKIN RUSAK NIH GAME
1,SERVERNY KNP LAG MLU MONTOON
1,uninstal ajah lah ni game
1,gatel boloe tempekk raimu gak adil
1,game apa ini anj dapet tim dark sistem Mulu menang 2x kalah 5x game anj
1,"stres setan kalah 10x apaan g di kasih bot sama sekali,biasanya ngasih ini kg.sengaja bgt lu moonton bikin player lu jdi gila.se tim sm rnk rendah apa coba udh gt mainny gjls afk lah ngefeed lah gjls mmk"
5,game tidak pernah adil. kasih tim sama musuh nya juga yang seimbang lah GAME TIDAK ADIL
5,MOONTOON PLIS LAHHHH KASI GW TIM YANG PINTER MAEN MONTOON APAAN MUSUH NYA SEKELAS PRO PLAYER TIM GW SEKELAS KADAL CELENG ARAB BABI TYTYDDDDD GW DAH CAPEK LOSTREK MULU JADI TOLONG YAAA KASI TIM YANG PINTER MAIN AKU DH LS 4 KALI MONTOON
5,Memakan banyak penyimpana
5,GAME NYA BAGUS BANGET
1,"wkwkkwkwk, Iyah sih makin lama grafiknya makin bagus tapi sinyalnya aneh bngt, masa suka ngeleg"" klo di in game apa mksdnya coba?, saya make wifi super kenceng yt lancar,TT lancar,FB,lancar,ig lancar,Twitter lancar pubg lancar smuanya lancar cmn game ooon ini aja nih yg GK beres, sinyal wifi buat lain"" aman giliran buat ni game buset lngsung 300 ms lngsung merah padahal di luar game 4 ms lah pas di dalem busetttt, mending dari pada kebanyakan benerin skin ini itu mending developper MOBILE LEGEDS"
1,"game alay, LS mulu, bgi yg gakuat mental mending g sh donlod asli, percuma aja ga ada manfaat, + kesabaran setipis tisyu mending jngn donlod, ak jg nyesel, tpi cuma ni game yg nemenin gw dari kesepian gabut, tapi klian jangan coba² donlod deh soalnya ni game ga cocok ma orng yg ga sabaran, lose streak mulu kocak, tim nya ni moontoon jmet, dh lh"
5,bagus bgt monton tapi musuh nya di buat sistem hitam😹☝🤓
1,gem kontrol
1,GAME GA JELAS BANYAK LOSE NYA GAUSAH DOWNLOAD GAME INI MENDING DOWNLOAD HOJ AJA
1,Teruskan bakat mu moonton masuk war sinyal nya langsung lag sama bantu teman mana lag nya lama banget tim nya gitu gitu aja main nya gak bisa jaga posisi
1,geme lol masa gw main dapet ya tim lol
1,ajg donlod dari tadi ga masuk masuk ajg
1,"gem Dajjal gem asuuu gem anjenggg, semua penaen nya dongo goblokk egoisss asuuu semua. asuuu asuuuuanjrengg"
1,knt1 fitur rilog hapus aja napa monton gw capek asw rilog trs😡
1,Monnton anjing Monnton tai Game tai
1,"suka nge lag ga jelas padahal sinyalnya fine fine aja, di kasih ls 10× bayangin dan aku nahan buat ga hapus ni gem"
5,gamenya seru dan menghilangkan stres Dan enak dimainkan dan banyak fitur fiturnya.
5,game terbaik dan game kesukaan saya
1,"game sampah, membiarkan player berkata kotor menghina hanya dikarenakan dia mpv, NAJISSSS auto hapus"
5,SERUUU BANGET GAMEE NYAA
1,cukup diam dan rasakan
1,gem gak bermutu
5,mantaff🤘😝
3,"game nya sih bagus, cuma tolong lah kasih tim tuh yg bagus, udah mah timnya gk bagus musuhnya malah jago, abis bintang gw lama² ini"
1,game pembodohan game sampahh😡😡😡😡😡😡🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬
5,"apalah moonton baru menang sekali habis tu kalah berkali kali tolonglah player solo, kasi menang banyak kali lah, untuk game sudah bagus ketidakadilan nya, thx."
1,"saya saranin mending gak usah download habisin kuota aja , game ini manis di awal saja di awal awal Ws terus habis tu ls terus sampe 10× habisin waktu aja, ingat waktu 30 menit itu penting bro"
1,game kampang
5,KAPANNN GLORY MONTONNNN PLIZZZZ MONTONNNNNN
2,"""Entah kenapa belakangan ini jaringan sering bgt jumping, gameplay nya jadi gaenak bgt. Udah jumping, matchmaking nya kadang-kadang kidding. Mohon untuk moonton agar segera di fix, karena yg jumping ternyata bukan saya sendiri doang tapi ada banyak."""
5,bagus
5,game ini bisa tidak memakai kuota dan lebih hemat
5,kasih lawan yang keras dongg wkwkwk
1,👎⭐️
1,"Game haram bikin stres, dark sistem tai"
1,game anjg trol terus setan game anjg goblokkk tiap hari kena trol trus setan buat game yang bener anjg buat darah tinggi aja ni game bngsat
1,menurut ku geme cukup gk adil dalam matching. karena kan kita selalu ketemu dg orang² yg ngertii soal dalam in geme
1,kebanyakan dark sistemnya
5,kanapa kalo saia download tapi sampai 99 aja semakin lama di tunggu itu kesalahan Nia itu dimana tolong perbaiki
1,pokok nya bikin emosian terus mending gak usah aja download
1,"game nya buruk sekali, pemakai cheat banyak yang tidak terbaca oleh sistem. sinyal bagus tetapi jaringan buruk ketika bermain. sistem pengaturan permainannya kurang adil"
1,mohon di benahi playernya.
1,top up terus menerus gak dapat skin
1,"Overall matchmakingnya hina, yg bisa mengalahkanku hanyalah Dark System"
1,di mythic match selalu tak seimbang tim musuh kompak saling membantu jago sedangkan tim ku selalu pisah war engga kompak hal ini membuat pemain solo sangat tersiksa mereka pemain duo trio tapi otak tak de.
1,"game kikir, isinya tukang ngetroll"
1,"benerin dulu dah pemain lo, ga ada yang bener kocak, gua capek kalo kudu gendong tim mulu kentot"
3,knp lag bgt ya ? apa krna hp gua yg butut daritadi ping ijo ga bisa gerak mulu
