Rating,Ulasan
5,"𝙗𝙖𝙮𝙖𝙣𝙜𝙖𝙣𝙢𝙪 𝙢𝙚𝙣𝙪𝙩𝙪𝙥𝙞 𝙨𝙞𝙣𝙜𝙜𝙖𝙨𝙖𝙣𝙖 𝙠𝙪, 𝙠𝙖𝙪 𝙩𝙚𝙧𝙡𝙖𝙡𝙪 𝙩𝙞𝙣𝙜𝙜𝙞.𝙢𝙚𝙣𝙪𝙣𝙙𝙪𝙠 𝙡𝙖𝙝 𝙠𝙚𝙥𝙖𝙙𝙖 𝙨ang Raja"
1,"NGASIH TIM GAK BENER COKK,KALAH MULU MUNTUN TOLONG 😡😡"
5,mantap dah
1,tiap mau naik rank pasti di kasih yg susah duh pusing
1,"game kikir, banyak dark sistem, pante pante game haram"
4,"yg ga masuk di akal. tim aku sumpah bikin naik darah .. kalau tim aku bodoh. kasih yg ringan musuhnya,ini enggak.. bikin orang muak gara gara sistem rusak.. orang dah banyak ngeluh masalah gem faposit.. terutama tim sama sinyal ,semua ga ada yg bagus.. kalau mau panjang gem ini . kasih kemudahan ,biar skil yg main .bukan demage lawan di tambahin.jangan mentang kami orang susah ,yg kaya kau senanggin.gem menghibur ,bukan jualan"
1,cuki
1,game sampah lebih bagus main di honor of king dari pada game banyak draksistem tolol game anjeng gak usah mau download aplikasi in banyak tipuan nya
5,permainan yg seru
1,game pantekkk
1,nonton jangan ke anak kecil ! udah nait ngpush kau kasih tim looly..!!!
1,"Harusnya pihak MoonTon membuat sistem baru dalam persiapan pertandingan yang dimana ketika sebelum memilih karakter dalam mode klasik/peringkat, setiap pemain mendapatkan peran yang diacak sehingga tidak akan bisa berebut peran/karakter, atau jadi, pemain hanya bisa memainkan karakter di peran yang telah ditentukan oleh sistem secara acak tersebut. Dan ketika bermain di mode peringkat, bintang tidak hangus ketika kalah, sehingga bermain di mode peringkat bisa lebih menyenangkan meskipun kalah!"
1,game kera ngtdd ngasih tim kek jmbdd
3,keren
1,game nya banyak bug bgsat jelek sampah gakterima
1,game sampah ngelag jangan di download guys game nya rusak sampah
1,"team musuh sama team sendiri nggak imbang, masa dikasih legen. musuh full glory perbatasan. komposisinya juga gak pas ktmu hampir semua bisanya 1 line, moba lain udah di sesuaikan kapan game ini hadehhhh"
3,"dapt tim gak pernah seimbang sama musuh, draf nya jomplang"
1,"game makin sampah, solo dapet anomali terus. mending maen game sebelah ketauan setolol2nya gak sampe 4 biji yg tolol."
1,game pilih kasih
1,sekali-sekali jangan kasih gue tim troll ml yatim udah berapa kali gue dikasih dark sistem
4,KDA bagus mlh dpt silver skrng mles bet liatny
1,kasih tim yang bener gapa di troll mulu gua
5,2 win aja montoon gw gak main rank lagi
1,game banst bnyk dark sistem kasih tim begi semuanya
1,"bang moonton kok lu jahat banget sih gue main duo temen gue 1 bintang lgi mytich tpi kok lu kasih musuhnya yg pro player sdangkan tim kita yang dark"" sistem gak tau hero gak tau main samsek pliss lah moonton klo temen gue udh mytich gue kasih bintang 5 moonton jelek"
1,game stress
1,game sampah dkit dkit di kasih darksyistem bisa bisa nya
5,"Game ga jelasss ini banyakkk dark sistem tololl, sistem game rusak, kasih tim ama musuh ga sepadann, carii musuh bolehh yang kerasss tapi kasih tim yang sepadan lahh cokkk. main di glory 70 keatass dikasih tim legend game rusakkkkkkkkkkkkkkkk! #PINDAHH HOKK AJAA GAME RUSAKKK"
5,"lop lop lop yu muntun, makasih supresnya 🥰"
1,game aneh anjir sumpah
5,"saya baru download ml,tapi knapa ga bisa masuk ya?mohon infonya"
5,di lobi jaringan 22ms masuk Reng 200ms main pertama bagus main kedua lansung leg gak jls ..rusak gem mu monton
1,udah malas main ini game kayak di sengajain monton cape main berjam jam gak ada menang dapat tim beban mulu sampe lost strek 10 kali apadah monton bikin player nya gak betah main
1,game babi ngasih tim yang bener dikit lah moonton kalah 5kali win 1kali tolol
4,nggak bisa login
1,kenapa setiap saya main ni geme selalu eleg padahal internet lancar tolong perbaiki masalah ini
5,"terima kasih monton karna telah menciptakan game ramah ini, semoga saja kantor kalian segera terbakar dan segera menanggung semua stress yang kami rasakan, sekali lagi terima kasih😊 monton"
5,muahh
5,pokoknya sngt bgus
1,monton asu
1,me cocok dan bagus
2,untuk dev klo kasi tim tuh yg seimbang sama musuh
1,ada bintang nol nga sih sumpah cape monton asu kalah bae Tim gaje ngawe stres tok mudah ora tim asu monton mobile kontttttttotl
1,I hate this game
1,Sinyal nya sering lag knp monton kok singal nya sering lag padahal jringan nya hijau
1,monton b4bi game t4i ngasih tim drak sistem semua dasar 4njing
1,main game ini lag
3,Moonton ini knp ya friendlist tbtb ada yang hilang padahal tidak saling unfollow giliran udh ada tbtb hilang lagi jadinya afinitas kereset juga tolong diperbaiki ya
5,baguss
5,wah geem nya seru banget makasih monton
5,halo akun saya kena hack apakah bisa di bantu dengan memulihkan akun saya akun saya di hack dan di tautkan dengan akun monton dan saya tidak bisa masuk mengunakan akun pihak ketiga saya mohon bantuannya trimakasih
1,game terasu di dunia mending dibuang aj ni game tolol banget masa rank glory dikasih tim kayak rank gm tapi musuhnya dikasih yang bisa main apa ngak gila ni game saran gw mending hapus aj ni game dari PlayStore 🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬
1,"penyesuaian tim yg tidak imbang.. legend spek EPICC,BANYAK DRACK SISTEM,buat pengecualian penaikan pangkat lah, biar gak LOSTŔEAK 27 KALI ASUU, ws cuma 2 kali, ADIL² LAH MOONTON DOSA WOYY MEMPERSULIT ORANG, BANGKEE , SAMPE² LU GAK BACA INI FIKS EMANG UDH RUSAKKKK, beda dari taun 2016 kemaren sistem nya gak kek sekarang.. mohon di perbaiki ya moonton"
1,"kembalikan fitur chat di akhir game, kalau tidak maka Terima lah bintang 1"
5,nice
3,"bang moonton, tolong lah tampilan latar belakang yang sudah di dapatkan Jangan di ganti ganti dan jangan di hapus,soalnya ga ada kenangan dan ga ketahuan juga bawa kita player old, moonton tolong yaa season baru baru ini latar belakang yang sudah di dapat jangan di hapus 🙏😊😊 gimana pendapat kalian semua apakah setuju kalo latar belakang yang kita sudah dapat di seaseon lalu bisa di pake lagi"
4,mas moonton kasih saya winstreak yaaa saya mau imo saya mohon yaa moontonn
1,jangan download game ini setiap kali main pasti di dapetin tim yang buruk bahkan saya kalah sampai 20 kali dan di kasih tim yang sangat buruk
5,tolong monton perbaiki Bug nya
5,keren
2,game bikin emosi malam malam tolol
5,makin lma makin gk beres nii game isi nya lag mlu sinyal bagus kok bisa lag diperkecil lgi mb klo bisa biar gk ganggu ke hp
1,KALAH BUAT BINTANG 1 ... ACOUNT YANG BANYAKKKKKKKKKKK HAHAHAHHAHAHA
1,game tqi bnyak pemain bodok dibiarkan ajqqqqq💩💩
1,game bikin emosi
1,"monton plis lah ban para penjoki, apa2an ini ketemu player gk bisa main tpi mitik gara2 penjoki astaga"
2,"makin GK jelas dpt tim beban terus giliran di laporkan GK ada pelanggaran !! tp main beban buat tim !!! makin ke sini makin GK jelas low moonton kasihan yg push rank dpt los strike gara"" pembagian tim yg timpang !!!"
4,keren
2,Aku dapet draks sistem mulu dan cape naik turjn naik turun
4,tolong kualitas jaringanya diperbarui sama hakim juga kurang akurat masak line ditabrakin nanti kita pindah line pake Hero lain dapat buli dibalas buli kita yg dapat pengurangan kredit skor
1,gameee tolollll
5,bagus
1,anak saya depresi gara geme ini tanggung jawab lu kami akn demo kantor monntun
3,knp gak bis main pas baru main ngestuck di loading awal saat di pilih antar 3 hiro awal
1,"TOLONG KLO KASIH TIM YANG PUNYA OTAK! MOONTON GELAP, DUNGU"
1,kasih tim yang cupu musuhnya pro moonton kikir ajg game bosok
1,game ta1
1,kebanyakan drak sistem
5,Darksistem
4,montong lu coba game lu dan lu yang biar merasakan dark sistem admin gak kasihan sama yang main sebagai pemain ingin merasakan menang terus 6 atau 3 bole kalo montong tidak memenuhi gak papa asal kan dark sistem di hapus yauda terimakasih semoga di jawab ☺☺☺
1,game nya seru tapi di kasih losetreak ampe 100 macth gk paham sama montoon yg jelas napa kasih tim gua jago tapi tim nya gak jelas gimana tanggung jawanb kami susah yg solo player naik rank nya malah stuk di situ situ aja rank nya kasih tim yg sepadan yg bisa menang yg adil dan kalah yg adil
1,monton kalo lagi ls kasih musuh yg beban lah
1,apk ngebug
1,"Game ga waras matching ga seimbang banget, masa iya dikasih team yg skillnya setara epic"
1,"game burik, tiap winstreak dapet tim dark sistem selalu begini."
1,game ruksak masa ada mm jalur exp ada mage jalur exp biar apa coba game tolol GK ada jalur ceritanya
5,jir enak kali game ini seru ayo donlod sekarang dan coba buruan
5,sangat sangat bagus game nya
5,baguss
5,aku sangat senang main ml meski dikasih tim dark sistem dan aku juga sering lose streak
1,Gemnya sangat edan seperti moonton monyet
5,knapa sih tiba tiba rilok sendiri jadi afk aja
1,"dikasih team yang jelek mulu kocak gmn mau betah main, mending main game yang lain"
3,tolong di perbaiki masak ngefrem terus di rendahin enggak ada bedanya bag melulu hallo moonton perbaiki hancurin performa main aja sinyal bagus lag Anah
3,game gak jelas setiap mau naik rank kurang 1 bintang pasti DEFEAT tolong lah toon diperbaiki capek gua
5,"sengaja kasih bintang 5 biar di respon, tolong dong moonton orang mainin gamenya disangka afk udah menang ehh malah disangkanya afk dan alhasil bintang gk bertambah secore kredit berkurang🤦"
1,ngerusak otak!!!!!!!!!!!!!!!
1,monton gimana masa di kasih tim drak sistem mulu jadi.rang aku turun drastis
1,"tolonglah moontonnn!!!!!!!!!!!!!makin lama ini jaringannya makin ga jelas,udah ganti wifi sana sini masih aja nge lag,tolong kali lah perbaiki,udah capek main kayak gini terus"
1,game sampah
1,baru buat akun pas udah mau ke pertandingan loading nya lama
1,Slalu dapat tim yg lol..dapat lawan yg kuat dan kompak Terutama hero vexana monternya lama ilangnya...
5,bertahun tahun main mobile legend akun kena curi entah lah hapus mlbb aja lah buat akun baru susah banget good bye mlbb
3,gua dapet tim bot muluk dah
1,matchamakingnya sangat buruk tidak sangat tidak adil
5,tambah Hero gratis
1,gem apa ni cok dapat tim lol
1,kantil ml tolol
1,permainan ini bikin kita setressss dan bikin kita emosi dan gak sesuai misalya kita di renk rendah di pertemukan sama renk tinggi
2,"monton anjg!!! lihat lihat lah kalo ngasih tim sama lawan, ini game 5 vs 5 apa 1 vs 9"
5,MOHO AKU KUNGA WU HERO BALI KIN😅
1,"saya kan baru downlod ml, waktu tutorial nya dtak di 100%, udah coba uninstal trs di instal lgi, tapi tetep sama👎👎"
1,"semakin menjengkelkan ,,, dark sistemx makin parah,,apalagi soal jaringan,,ada lagi ,,,aku pilih Hero apa yang jadi Hero lain,,,,dan lagi musuh makin mengerikan,,,teman se team juga semakin tidak jelas,,"
5,mantap
1,isinya player ngetrol semua di seluruh match.pembodohan macam apa ini.makin ke sini makin aneh aja ni game
5,bagus
5,"pliss enak banget mainnya , walaupun pernah kalah tapi sekali menang mvp 15,0 lagi ,aku pedahal masih pemula lohh,balmond selalu di hati, lop² deh my mobile legend"
5,semoga nggk ada dark system lagi🗿
1,gw main epep😭
5,suka
4,hapus dark system yeayyyyyyyyyyyy
5,"Sinyal ny di perbaiki lgi, masa lgi war malah ngelag, pas mati lngsng lancar lgi"
5,"game nya baguss,cocok untuk orang yang ingin merasakan stress.saya suka sekali karena terlalu suka hingga saya uninstal game nya."
1,memainkan nya membuat org stres karena saya kalah karena drak sistem dan membuat saya muak
1,"najis, ngasih sanksi afk ke temen mabar itu ga jelas tod. lo kira afk semua? dong0"
1,keren yahh menang skali kalahh berkali kalii:)
5,raww
5,game andalan
5,game gila bikin orang stres.
1,GAME BIKIN STRESS DOANG !!
1,geme burik anjir. sinyal bagus asal main lag ppk
1,koplok stuck d loading trs
5,Sangat puas meskipun kadang2 bikin setres
1,"Ingat ya Moonton saya AFK bukan dengan sengaja tapi karena kamu,lagi enak main toba² keluar sendiri habis main kena pelanggaran AFK, Apakah kau iri kalau aku naik bintang yang jauh, bagaimana kau ciptakan game menyusah pemain,bersusah payah main akhir leg tiba-tiba dan keluar tiba-tib, Kayak gak ada respon sedikit pun,ku pikir update makin hebat ternyata makin parah, kalau gitu selalu jangan harap saya kasih bintang 5,ubah dulu kendala baru saya kasih bintang 5"
1,gw g pake cheat tapi di ban truss
5,riques dong season ultramen
2,Jujur saja saya kurang puas karena saya main itu susah tidak sepadan saat pertandingan jaringan naik turun dan kalau ada even harian quest nya jangan terlalu banyak karena saya tidak ada waktu untuk bermain.
1,setiap update selalu rusak
3,moonton tolong fitur grafis terbarunya diatasi dlu bug mode hd nya g bisa dimatikan
1,kenapa tim gua selalu orang gj
5,Okkk
1,"main game mobile legend sekarang sudah gak ada keseruannya karena menemukan tim dan musuh yang gak seimbang, dan kebanyakan dapat tim yang gak sesuai dan sistem report kepada player yang kualitas mainnya kurang bagus agak kurang tegas karena harus menunggu dalam waktu 1 jam untuk mengevaluasi nya.mungkin beberapa minggu saya tidak memainkan game ini karena saya sudah tertarik dengan game ini.dan untuk pihak developer mohon untuk BAN akun saya secara permanen.saya tunggu feedbacknya. Terimakasih"
1,sistem tai
5,keren game nya jd banget
3,"jangan main jika rank kamu bintang 5 di rank pasti akan kalah, kecuali penjoki"
5,Bagus game ya
1,gametai
5,menyenangkan
5,saya berharap game ini baktrut karena game ini tidak adil pada saat bermain tim saya gak bisa main terus tim musuh bisa main dan menurut saya lebih baik HOK
5,Seru sih bisa offline ML TOP NO 1 Di game online bagi Aku
1,bejadddd
1,"ini kenapa mobile legend nya ngelag,semua mengeluh in game nya ngelag padal jaringan bagus,mohon perbaiki lah mountoon kalo gak saya berenti main mobile legend"
1,kasih tim yang waras lah dpt tim dark sistem mulu
1,Kalian masih percaya ini game?
2,"jaringan gua bgus tpi moonton buat gua afk,alhasil di riport tim gua gara""lu"
1,gausah di download game gajelas seharusnya bintang nol ini ngasih tim tolol semua sikit sikit ngelag lagi tolol
5,kasih tim yang bagus dikit napa nonton capek monton loetrek trus capek gua
2,"ML dari dulu smpe skrng masih game favoritku, gw sampe gabisa main game online lain krna fokus ningkatin skill sampe main ml hampir 10 jam tapi...knp ya gw selalu aja kalah trs selalu mvp kalah jg padahal gw mainnya udh bener loh timnya aja yg bisanya war mulu. Plis lah monton kasih keadilan untuk matchmaking nya gw dah cape gendong tim dark sistem mulu. jgn cuma banyakin skin doang! yg gw butuh itu tim yang bener,waras dan ga nobb. ayolah gw cuma pengin dpt tim waras doang kok gak lebih😭😭😔🙏"
5,minimal mhytic imortal 😋
1,"dapat tim ga imbang tolol tolo tim nyapadahal di mythic ,4x match tim nya bego bego"
4,monton tolong di perbaiki aku lagi main kok langsung logen ulang tolong di perbaiki agar bintang lima
4,bagus sih tapi kadang sering ada bug sperti ketemu musuh yg pake cheat tolong di perbaiki dongg
4,cuma perlu hilangin drak sistem
5,game nya bagus
5,"suka aj klau main mobil legend,"
1,DARI DULU PEMBAGIAN TIM TIDAK SEIMBANG....
1,"Apalah moonton sekarang ni, orang mau login pun gk bisa, aku udh login dan uninstall sampai 3x pun tetap gk bisa, malah stuck di loading screen yang milih 3 Hero, tolong laaahh moonton jangan lahh begini"
5,alhamdulilah saya sudah bermain ML sape sekarang ML masih tetap seruu
1,"lu ngasih tim yg bnr apa, mau imo dikasih msuh g logis, timnya full silver/coklat, minimal dibantu kek, bikin emosi ae"
1,"WOY MOONTON MIKIR LAH, JARINGAN DAN PERMAINAN DI DALAM GAME ITU YANG DI PERBAIKI, GA OTAK LU ISINYA SKIN DUIT AJA, TOLONG LAH PERBAIKI KUALITAS BERMAIN BIAR GANGAT BURUK DAN TIDAK STABIL."
1,Game kebanyakan dark sistem kocak!
1,ngasih bintang satu aja gak sudi gw
5,𝚒𝚗𝚒 game sih aku suka banget sama heronya dan cara mainnya bintang 5 😏ya
5,lumayan menghibur
1,monton babi klo malam jaringan kyk taik kecewa kami download nya
1,game gendeng aku losetrike trs dari mitik bintang 10 turun ke legend 1 bintang 2 emang game dajjal game rusak
1,"moonton kntl,gua kalah mulu"
1,"Game burik,maen ketemunya orang""yang songong,burik jangan install game ini ntar nyesel,timnya bot banyak draksistemnya.perbaiki sistem solonya devoleper banyak player yang tiap harinya ngetroll.lebih asik dihok,game ta1,moba bangs4T"
1,gem gak jelas kalah menag kalah menag terus maka itu saya kasi bintang 1
1,kalah bintang 1
1,game jelek apus aja
1,pepek kau
1,mohon di perbaiki lagi banyak yang ngeluh di dalam gaim sering terjadi leg padahal jaringan normal mohon segere perbaiki degan sistem monton yang lebih baik #gaim udah lama masih aja perbaikn kurang konsisten pantesan banyak yang pindah gaim sebelah
1,bintang nya naik turun terus lag Mulu kalau mati gak lag gimana sih monton
1,bikin emosii😡
1,game jelek keseringan kalah bikin orang stres banyak orang bilang main game menghilangkan stres game ini bikin makin stres saran saya jangan main game ini saya hanya mengingatkan kepada kalian
5,aku mau login tapi gak bisa
2,game apa ni coo ga ada menangnya mainn inii cuma bikin stress teman gw pada pindah game FC tuhh woyyy gw jadi main sendiri hehhhh!!😞😞 kasih menanglah musuh kasih yang seimbang jugaaa hadehhh
3,"game ini udh bagus cuma tim nya selalu di bikin berat sebelah, dan sering terjadi frez padahal jaringan bagus dan hp lancar."
1,Giblig
5,bagus banget
5,bagus
1,"dari awal season sampe akhir season ini di kasih menang kalah menang kalah mulu heran, aku tuh kalau sedih pulang nya ke game ini, buat cari kesenangan, malah di kasih lose mulu:( dari awal season loh.. stuck di legend 1-2 mulu naik turun naik turun.. cape juga moonton gini terus:("
3,game nya sih seru ya tpi kenapa tiap sebelum reset season selalu kalah
5,bagusssss seruuuuu
1,game apa donlot data lama hahahha moonton hahahah lu gimana kesaing ff bodo hahahah aku main ff gausa donlot data
5,ml di hati ku
3,"kmu tau bang, ini main 25mnt bang, hampir setengah jam bang, kmu tauu bang, padahal kill kita menang banyak, kenapa kau kasih victory ke musuh bangggg, ini juga hyper kalah Retri terusssss"
1,"min jangan di update lagi, saya sudah rank mythical honor jangan ke epic lagi! Capek saya ke epic ke mythical honor lagi 😡"
2,"sinyal leg , merah terus"
5,sudah di update berapa kali makin bagus grafik nya
1,maaf tapi aku bilang kalo aku main jaringan sering lag tiba tiba padahal ngk ada apa apa sama wifi saya.sama waktu saya main mesti dapat anggota yg bisa dibilang kurang bisa dan lawan semua bagus dalam skill melawan dan saya hampir terus kala dalam pertandingan...kalo ngasih tim juga ngotak ☺️
3,dikit dikit lag padahal stabill apa lagi kalo udah pencet fliker malah gak nge fliker fliker ampe mati terus kalo main di pas mau naik rank pasti lawan nya sekelas tim mpl dan tim gw malah kayak lagi main pou gak adillll 😤😡
2,gem ya ga gratis diamond hehe
1,GAME TERBANGSAT. GUA SANTET YG BUAT GAME NI SUMPAH
5,sinyal bagus ping merah ga jelas muntun makin kesini makin banyak dark system cheater ah males tolonglah player kaya gitu langsung di banned dong muntun gimana si
1,"Saat bermain koneksi selalu trouble padahal ditemen saya tidak dan menggunakan wifi yang sama, tolong diperbaiki server nya, jangan personal gitu dong gua mau imortal moontonnnn"
1,kocak parah lag mulu tiap main
3,"untuk game sudah sangat bagus,namun saya masihmempertimbangkan hal ini untuk masalah penyimpanan yang selalu auto download setiap login.itu akan memengaruhi penyimpanan secara otomatis.saran saya coba untuk membuat fitur tidak terdownload otomwtis untuk data nya"
1,kenapa si monton nya ga ngerti sama sekali. yang main sudah banyak kali di gabubg sama yang mode nya masih seger. sadar diri lol
5,game yg bagus
1,"Bantu dong min ini knpa game nya gk mau login pdhl jaringan aman bagus ditunggu in stngh jam gk bisa masuk"" masih memuat"
1,gampang banget sih nih game ezy deek
5,keren
1,"bot dark sistem ngg bisa di report, rugi waktu doang"
2,Makin kesini makin gak jelas Push Rank selalu dikasih tim yang baru belajar main sedangkan lawan Tim yang berpengalaman semua
1,mobile legend GK jelas kenapa GK bisa kebuka
5,sangat menajukan
1,"buat moonton plis saya udh berapa hari mau ngerank ada aja yg iseng undang ke custom terus di pause tolong kebijakan buat org seperti itu, padahal saya mau ngerank"
1,kenapa even skin Silvana meowkin tidak ada di akun saya padahal suda mendownload semua data 😎
1,"KRBANYAKAN LOSE NYA DARIPADA WIN NYA,, TIM NYA SELALU GA SEIMBANG MUSUHNYA JAGO DI TIM SENDIRI KEK BOT,@MOBILE LEGEND"
5,game kesukaan
5,saya ingin mengeluh karena semenjak settingan grafik yang baru saya GK bisa matikan mode Hd di ponsel saya karena saya waktu itu make akun temen saya dan kepencet mode Hd dan nyala namun saat saya ingin mematikan nya sudah tidak bisa dikarenakan diubah ke settingan grafik baru sudah saya matikan resolusi yang settingan grafik baru namun tidak berfungsi🙏
1,"game lucu, tim dikasih yang ga bisa main, menang-kalah-menang-kalah, lucu lo, buang2 waktu player"
1,TOLONG PERBAIKKIN MATCHMAKINGNYA. SAYA KETEMU GLORY 50 KETEMU GLORY KEBELET IMMO SEMUA TOLONG YA GAME DEVELOPER KIKIR
1,memberi kekalahan yang tidak wajar dari honor 49 sampe honor 27
5,bagus
1,Stupid game!
1,😍😍😍
1,masih stun di bagian load belum bisa match
1,game stres pembagian tim yg tidak adil
1,lag terus mau main aja gak bisa masa harus mengendalikan sinyal .sinyal udah bagus masih aja lag apalagi grafik udah rendah masih aja keluar dari game buat apa sih setiap main harus lag Mulu lebih baik omong daripada banyak pemain ngeluh sinyal apalagi tiba tiba lag tolong diperbaiki sinyalnya udah muak saya kena terus sampai kredit skor saya hampir 90
5,kok gak bisa rising star
1,jelek tidak bisa di donlot
1,"game berat,haram"
1,"game gak seru! masa main baru satu matc menang terus langsung di kasih kalah, monton kayak gak terima banget rank kita tinggi, giliran dapet tim drak sistem, giliran lawan jago semua mending yang mau downlod ml ga usah dari pada stres."
5,menyenangkan
1,main malah dapat Tim drak sistem minimal kasih Tim jago malah masih Tim drak sistem
2,game gjls sering lag pdhl jringan bgus anj
1,Banyak yang ngetrol cokkkkkk jahanam
5,gem ini sangat seru dan heronya bagus bagus
1,"game yang sangat buruk, matcmaking yang sering kali tidak seimbang. membuat jenuh,"
5,permainan ini sangat seru apalagi kalo main bareng temen
1,sering mendapatkan tim tolol
1,Klo bikin game lebih bagus lh sistem ya knp leg Mulu sinyal ya sinyal d hp bagus tpi knp game pada leg sih aneh kalian bikin game ya jelek amat sinyal ditambah sistem kacau
5,sangat menghibur tapi tolang jaringannya di berbaiki
2,mitik serasa epic
5,berikan lah aku kemenangan dan skin gratis untuk saya kumohon 🫸🫷
1,"minimal perbaiki dulu tuh jaringan, orang paket data masih banyak di pakai buat youtube, fb, sama ig aja masih lancar giliran di pakai maen ngeleg parah. sama benerin tuh sistem macth making biar adil masa player yang rank legend 1 bisa bisa nya ketemu sama grandmaster kan pea."
5,games nya bagus👍👍👍👍🐱dan ifen nya bagus bagus aku reting 💯 dan coba kolaborasi sama kartun spombot pliss
3,woi moonton kalo mau naik ke rank berikutnya itu di gampangin lah tolong min🙏
5,bagus
1,"kasih tim yang beban mulu,kalo org yg punya darah tinggi jan download ini game burikkkkk"
5,karna lingkangan ML itu keras seperti gau maunya butuh viktori bukan tuan putri
5,"singkat aja si,, untuk game ML ini bagus,, tapi kalau sinyal nya bagus pasti dapat temannya itu beh di luar nastar dah pokok nya... segitu aja ya malas mikir soal nya"
1,"monton saya ada sedikit masukkan. monton lol draft pick gak ngotak banget, apalah nasib gw palyer solo dapet tim orang-orang tolol 😔. mending jadiin offline permanen aja min, mending main costum bot Nya masih tau land,dari pada main sama rank mythic Romawi tapi isinya Master bangkeee.Sekian dari saya Adeus amigo."
5,game The best
4,tolong dong mlnya diperbaiki ko susah sekali lodingnya
5,agak lain bah
2,moonton Tolong segera ban semua dark sistem di classic sama rank soal nya bikin beban jadi Tolong ya moonton ban dark sistem nya
5,ini adalah game paling baik di dunia
1,gêm gilak
5,game nya asik yaa montoon tapi tolong hapuskan drak sistem🗿
1,"ngasih tim yang benar lah bangke,kalo ngeleg tu jangan jalan sendiri lah"
1,"Game Gajelas Internet ga kenapa-napa tpi ngelag bngt in game nya,maen game Laen perasaan ga ngeleg Kya gini"
5,gamenya ok. tapi perbaiki lagi tentang sinyal yang kadang naik turun
5,saya sangat menyukai game ini
3,saya ngestuck di dalam apk nya tidak bisa di click sama sekali
5,bagus banget
5,asik bangettttt
3,I hope this game has an update to save game replays directly to the gallery without having to screen record using another application
4,Game nya sebenarnya bagus
5,bagus geme nya
2,jaringan selalu terputus padahal sinyal bagus
1,"ngasih tim yg bnr dong, losetreak mlu cape"
5,waw bagus banget
